ID,R1_association,R1_edge_weight,R1_concreteness,R2_association,R2_edge_weight,R2_concreteness,R3_association,R3_edge_weight,R3_concreteness,R4_association,R4_edge_weight,R4_concreteness,cue,cue_weight,associations,num_distractors,num_associations,associations_mean_weight,distractors,labels,candidates,candidates_connectivity_score,candidates_connectivity_data,alternative_associations_candidates,cue_associations_str,cue_associations_lst,candidates_connectivity_score_weight,origin_candidates_number
10,beer,69,4.88,glass,30,4.82,milk,15,4.92,quart,14,4.57,pint,114,"[""beer"", ""glass"", ""milk""]",2,3,38,"[""swamp"", ""rain""]","[0, 1, 4]","[""beer"", ""glass"", ""swamp"", ""rain"", ""milk""]",5,"[{'alternative_cue': 'bottles', 'alternative_cue_novel_associations': ['glass', 'beer', 'milk'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'froth', 'alternative_cue_novel_associations': ['beer', 'milk'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bottle', 'alternative_cue_novel_associations': ['glass', 'beer'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'windshield', 'alternative_cue_novel_associations': ['glass', 'rain'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'condensation', 'alternative_cue_novel_associations': ['glass', 'rain'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pour', 'alternative_cue_novel_associations': ['rain', 'milk'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'malt', 'alternative_cue_novel_associations': ['beer', 'milk'], 'num_alternative_cue_novel_associations': 2}]","[['rain', 'milk'], ['glass', 'beer', 'milk'], ['glass', 'rain'], ['beer', 'milk'], ['glass', 'beer']]","['beer', 'glass', 'milk', 'pint']","['pint', 'beer', 'glass', 'milk']",36,5
11,king,61,4.1,ruler,24,4.66,penguin,17,5,clothes,15,4.76,emperor,102,"[""king"", ""ruler"", ""penguin""]",2,3,34,"[""cobra"", ""notebook""]","[4, 1, 2]","[""cobra"", ""ruler"", ""penguin"", ""notebook"", ""king""]",1,"[{'alternative_cue': 'monarch', 'alternative_cue_novel_associations': ['king', 'ruler'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'rule', 'alternative_cue_novel_associations': ['king', 'ruler'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sovereign', 'alternative_cue_novel_associations': ['king', 'ruler'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tyrant', 'alternative_cue_novel_associations': ['king', 'ruler'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ruling', 'alternative_cue_novel_associations': ['king', 'ruler'], 'num_alternative_cue_novel_associations': 2}]","[['king', 'ruler']]","['emperor', 'king', 'penguin', 'ruler']","['emperor', 'king', 'ruler', 'penguin']",4,5
12,cheese,31,4.7,ice,29,4.89,hot,17,4.31,chocolate,13,4.72,melted,77,"[""cheese"", ""ice"", ""hot""]",2,3,25.66666667,"[""mitt"", ""bean""]","[1, 2, 3]","[""mitt"", ""cheese"", ""ice"", ""hot"", ""bean""]",3,"[{'alternative_cue': 'melting', 'alternative_cue_novel_associations': ['ice', 'hot', 'cheese'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'cold', 'alternative_cue_novel_associations': ['ice', 'hot'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cocoa', 'alternative_cue_novel_associations': ['hot', 'bean'], 'num_alternative_cue_novel_associations': 2}]","[['ice', 'hot'], ['ice', 'hot', 'cheese'], ['hot', 'bean']]","['cheese', 'hot', 'ice', 'melted']","['melted', 'cheese', 'ice', 'hot']",16,5
13,movie,25,4.59,book,11,4.9,,,,,,,subtitle,60,"[""movie"", ""book""]",3,2,18,"[""sandwich"", ""sunset"", ""pen""]","[2, 3]","[""sunset"", ""sandwich"", ""movie"", ""book"", ""pen""]",4,"[{'alternative_cue': 'notebook', 'alternative_cue_novel_associations': ['movie', 'pen'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'write', 'alternative_cue_novel_associations': ['pen', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'writer', 'alternative_cue_novel_associations': ['pen', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'written', 'alternative_cue_novel_associations': ['pen', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'hunger games', 'alternative_cue_novel_associations': ['movie', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'writing', 'alternative_cue_novel_associations': ['pen', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lord of the rings', 'alternative_cue_novel_associations': ['movie', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'genre', 'alternative_cue_novel_associations': ['movie', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'thriller', 'alternative_cue_novel_associations': ['movie', 'book'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'twilight', 'alternative_cue_novel_associations': ['sunset', 'book'], 'num_alternative_cue_novel_associations': 2}]","[['movie', 'book'], ['pen', 'book'], ['movie', 'pen'], ['sunset', 'book']]","['book', 'movie', 'subtitle']","['subtitle', 'movie', 'book']",25,5
14,college,34,4.62,high school,20,4.52,,,,,,,freshman,71,"[""college"", ""high school""]",3,2,27,"[""salsa"", ""monument"", ""gold""]","[2, 4]","[""gold"", ""salsa"", ""college"", ""monument"", ""high school""]",1,"[{'alternative_cue': 'graduate', 'alternative_cue_novel_associations': ['college', 'high school'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'graduation', 'alternative_cue_novel_associations': ['college', 'high school'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'diploma', 'alternative_cue_novel_associations': ['college', 'high school'], 'num_alternative_cue_novel_associations': 2}]","[['college', 'high school']]","['college', 'freshman', 'high school']","['freshman', 'college', 'high school']",4,5
15,cat,78,4.86,mustache,11,4.9,,,,,,,whiskers,115,"[""cat"", ""mustache""]",3,2,44.5,"[""diary"", ""waistband"", ""nebula""]","[1, 0]","[""mustache"", ""cat"", ""diary"", ""waistband"", ""nebula""]",0,[],[],"['cat', 'mustache', 'whiskers']","['whiskers', 'cat', 'mustache']",1,5
16,snake,78,5,cat,27,4.86,,,,,,,hiss,123,"[""snake"", ""cat""]",3,2,52.5,"[""limp"", ""stewardess"", ""van""]","[2, 4]","[""stewardess"", ""van"", ""snake"", ""limp"", ""cat""]",0,[],[],"['cat', 'hiss', 'snake']","['hiss', 'snake', 'cat']",1,5
17,book,35,4.9,phone,20,4.86,,,,,,,text,86,"[""book"", ""phone""]",3,2,27.5,"[""toothbrush"", ""lobe"", ""landscape""]","[2, 4]","[""toothbrush"", ""landscape"", ""book"", ""lobe"", ""phone""]",0,[],[],"['book', 'phone', 'text']","['text', 'book', 'phone']",1,5
18,bush,27,4.9,woods,14,4.87,,,,,,,thicket,55,"[""bush"", ""woods""]",3,2,20.5,"[""crane"", ""microscope"", ""van""]","[4, 3]","[""crane"", ""microscope"", ""van"", ""woods"", ""bush""]",0,[],[],"['bush', 'thicket', 'woods']","['thicket', 'bush', 'woods']",1,5
19,snow,75,4.85,mountain,27,4.96,,,,,,,skiing,123,"[""snow"", ""mountain""]",3,2,51,"[""throw up"", ""lottery"", ""rod""]","[3, 2]","[""throw up"", ""lottery"", ""mountain"", ""snow"", ""rod""]",1,"[{'alternative_cue': 'alps', 'alternative_cue_novel_associations': ['mountain', 'snow'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'snowboard', 'alternative_cue_novel_associations': ['mountain', 'snow'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'skis', 'alternative_cue_novel_associations': ['mountain', 'snow'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'alpine', 'alternative_cue_novel_associations': ['mountain', 'snow'], 'num_alternative_cue_novel_associations': 2}]","[['mountain', 'snow']]","['mountain', 'skiing', 'snow']","['skiing', 'snow', 'mountain']",4,5
20,food,56,4.8,freezer,22,4.87,kitchen,12,4.97,ice,10,4.89,fridge,147,"[""food"", ""freezer"", ""kitchen"", ""ice""]",2,4,25,"[""sewing"", ""pool""]","[1, 2, 4, 5]","[""pool"", ""food"", ""freezer"", ""sewing"", ""kitchen"", ""ice""]",4,"[{'alternative_cue': 'refrigerator', 'alternative_cue_novel_associations': ['freezer', 'ice', 'food'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'chef', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'blender', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pantry', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'culinary', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cupboard', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'freeze', 'alternative_cue_novel_associations': ['freezer', 'ice'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'icebox', 'alternative_cue_novel_associations': ['freezer', 'ice'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cooking', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cookbook', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cuisine', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tongs', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'freezer', 'alternative_cue_novel_associations': ['ice', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cook', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cooked', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'recipes', 'alternative_cue_novel_associations': ['kitchen', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'defrost', 'alternative_cue_novel_associations': ['freezer', 'ice'], 'num_alternative_cue_novel_associations': 2}]","[['freezer', 'ice'], ['ice', 'food'], ['kitchen', 'food'], ['freezer', 'ice', 'food']]","['food', 'freezer', 'fridge', 'ice', 'kitchen']","['fridge', 'food', 'freezer', 'kitchen', 'ice']",25,6
21,knight,35,4.79,shield,18,4.66,metal,17,4.87,,,,armor,70,"[""knight"", ""shield"", ""metal""]",3,3,23.33333333,"[""paint"", ""ninja"", ""belt""]","[2, 4, 3]","[""belt"", ""ninja"", ""knight"", ""metal"", ""shield"", ""paint""]",1,"[{'alternative_cue': 'defender', 'alternative_cue_novel_associations': ['knight', 'shield'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sword', 'alternative_cue_novel_associations': ['knight', 'shield'], 'num_alternative_cue_novel_associations': 2}]","[['knight', 'shield']]","['armor', 'knight', 'metal', 'shield']","['armor', 'knight', 'shield', 'metal']",4,6
22,money,74,4.54,gold,25,4.81,metal,10,4.87,,,,coins,126,"[""money"", ""gold"", ""metal""]",3,3,36.33333333,"[""length"", ""couch"", ""pickle""]","[4, 5, 3]","[""couch"", ""pickle"", ""length"", ""metal"", ""money"", ""gold""]",3,"[{'alternative_cue': 'loot', 'alternative_cue_novel_associations': ['gold', 'money'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bronze', 'alternative_cue_novel_associations': ['gold', 'metal'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'shiny', 'alternative_cue_novel_associations': ['gold', 'metal'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'nickel', 'alternative_cue_novel_associations': ['money', 'metal'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'reward', 'alternative_cue_novel_associations': ['gold', 'money'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'jackpot', 'alternative_cue_novel_associations': ['gold', 'money'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'silver', 'alternative_cue_novel_associations': ['gold', 'metal'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bling', 'alternative_cue_novel_associations': ['gold', 'money'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ore', 'alternative_cue_novel_associations': ['gold', 'metal'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'platinum', 'alternative_cue_novel_associations': ['gold', 'metal'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'valuable', 'alternative_cue_novel_associations': ['gold', 'money'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'riches', 'alternative_cue_novel_associations': ['gold', 'money'], 'num_alternative_cue_novel_associations': 2}]","[['gold', 'metal'], ['money', 'metal'], ['gold', 'money']]","['coins', 'gold', 'metal', 'money']","['coins', 'money', 'gold', 'metal']",16,6
